,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.263,*results_full_domain_appears_MapsLocations,38,38,0.18421052631578946,0.053,0.316,6.0,76,rural,urban,0.003055192304197968,urban
1,0.263,*results_full_domain_appears_MapsLocations,38,38,0.18421052631578946,0.316,0.053,6.0,76,low-income,high-income,0.003055192304197968,low-income
2,0.263,*results_full_domain_appears_MapsLocations,38,38,0.18421052631578946,0.053,0.316,6.0,76,GOP,DEM,0.003055192304197968,DEM
3,0.0,results_full_domain_appears_UserTweetCarousel,38,38,0.21052631578947367,0.211,0.211,1.0,76,rural,urban,1.0,
4,0.263,*results_full_domain_appears_MapsLocations,38,38,0.18421052631578946,0.053,0.316,6.0,76,rural,urban,0.003055192304197968,urban
5,0.105,results_full_domain_appears_wikipedia.org,38,38,0.7894736842105263,0.842,0.737,1.14,76,rural,urban,0.26649190898776076,rural
6,0.0,results_full_domain_appears_twitter.com,38,38,0.15789473684210525,0.158,0.158,1.0,76,rural,urban,1.0,
7,0.053,results_full_domain_appears_facebook.com,38,38,0.2631578947368421,0.289,0.237,1.22,76,rural,urban,0.608088978729775,rural
8,0.0,results_full_domain_appears_NewsCarousel,38,38,0.7105263157894737,0.711,0.711,1.0,76,rural,urban,1.0,
9,0.0,results_full_domain_appears_UserTweetCarousel,38,38,0.21052631578947367,0.211,0.211,1.0,76,low-income,high-income,1.0,
10,0.263,*results_full_domain_appears_MapsLocations,38,38,0.18421052631578946,0.316,0.053,6.0,76,low-income,high-income,0.003055192304197968,low-income
11,0.105,results_full_domain_appears_wikipedia.org,38,38,0.7894736842105263,0.737,0.842,1.14,76,low-income,high-income,0.26649190898776076,high-income
12,0.0,results_full_domain_appears_twitter.com,38,38,0.15789473684210525,0.158,0.158,1.0,76,low-income,high-income,1.0,
13,0.053,results_full_domain_appears_facebook.com,38,38,0.2631578947368421,0.237,0.289,1.22,76,low-income,high-income,0.608088978729775,high-income
14,0.0,results_full_domain_appears_NewsCarousel,38,38,0.7105263157894737,0.711,0.711,1.0,76,low-income,high-income,1.0,
15,0.0,results_full_domain_appears_UserTweetCarousel,38,38,0.21052631578947367,0.211,0.211,1.0,76,GOP,DEM,1.0,
16,0.263,*results_full_domain_appears_MapsLocations,38,38,0.18421052631578946,0.053,0.316,6.0,76,GOP,DEM,0.003055192304197968,DEM
17,0.105,results_full_domain_appears_wikipedia.org,38,38,0.7894736842105263,0.842,0.737,1.14,76,GOP,DEM,0.26649190898776076,GOP
18,0.0,results_full_domain_appears_twitter.com,38,38,0.15789473684210525,0.158,0.158,1.0,76,GOP,DEM,1.0,
19,0.053,results_full_domain_appears_facebook.com,38,38,0.2631578947368421,0.289,0.237,1.22,76,GOP,DEM,0.608088978729775,GOP
20,0.0,results_full_domain_appears_NewsCarousel,38,38,0.7105263157894737,0.711,0.711,1.0,76,GOP,DEM,1.0,
21,0.289,**results_top_three_domain_appears_MapsLocations,38,38,0.17105263157894737,0.026,0.316,12.0,76,rural,urban,0.0008247535429409134,urban
22,0.289,**results_top_three_domain_appears_MapsLocations,38,38,0.17105263157894737,0.316,0.026,12.0,76,low-income,high-income,0.0008247535429409134,low-income
