,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_domain_frac_UserTweetCarousel,18,18,0.0,0.0,0.0,,36,rural,urban,,
1,0.0,results_top_domain_frac_NewsCarousel,18,18,0.16666666666666666,0.167,0.167,1.0,36,rural,urban,1.0,
2,0.0,results_top_domain_frac_linkedin.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
3,0.056,results_top_domain_frac_MapsLocations,18,18,0.027777777777777776,0.056,0.0,inf,36,rural,urban,0.331332762038679,rural
4,0.0,results_top_domain_frac_wikipedia.org,18,18,0.0,0.0,0.0,,36,rural,urban,,
5,0.0,results_top_domain_frac_twitter.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
6,0.0,results_top_domain_frac_facebook.com,18,18,0.0,0.0,0.0,,36,rural,urban,,
7,0.0,results_top_domain_frac_UserTweetCarousel,18,18,0.0,0.0,0.0,,36,low-income,high-income,,
8,0.0,results_top_domain_frac_NewsCarousel,18,18,0.16666666666666666,0.167,0.167,1.0,36,low-income,high-income,1.0,
9,0.0,results_top_domain_frac_linkedin.com,18,18,0.0,0.0,0.0,,36,low-income,high-income,,
10,0.056,results_top_domain_frac_MapsLocations,18,18,0.027777777777777776,0.0,0.056,inf,36,low-income,high-income,0.331332762038679,high-income
11,0.0,results_top_domain_frac_wikipedia.org,18,18,0.0,0.0,0.0,,36,low-income,high-income,,
12,0.0,results_top_domain_frac_twitter.com,18,18,0.0,0.0,0.0,,36,low-income,high-income,,
13,0.0,results_top_domain_frac_facebook.com,18,18,0.0,0.0,0.0,,36,low-income,high-income,,
14,0.0,results_top_domain_frac_UserTweetCarousel,18,18,0.0,0.0,0.0,,36,GOP,DEM,,
15,0.0,results_top_domain_frac_NewsCarousel,18,18,0.16666666666666666,0.167,0.167,1.0,36,GOP,DEM,1.0,
16,0.0,results_top_domain_frac_linkedin.com,18,18,0.0,0.0,0.0,,36,GOP,DEM,,
17,0.056,results_top_domain_frac_MapsLocations,18,18,0.027777777777777776,0.056,0.0,inf,36,GOP,DEM,0.331332762038679,GOP
18,0.0,results_top_domain_frac_wikipedia.org,18,18,0.0,0.0,0.0,,36,GOP,DEM,,
19,0.0,results_top_domain_frac_twitter.com,18,18,0.0,0.0,0.0,,36,GOP,DEM,,
20,0.0,results_top_domain_frac_facebook.com,18,18,0.0,0.0,0.0,,36,GOP,DEM,,
