,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_youtube.com,220,80,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
1,0.012,results_full_domain_appears_linkedin.com,220,80,0.0033333333333333335,0.0,0.012,inf,300,rural,urban,0.3203637152607317,urban
2,0.003,results_full_domain_appears_wikipedia.org,220,80,0.89,0.891,0.888,1.0,300,rural,urban,0.934370540847005,rural
3,0.0,results_full_domain_appears_twitter.com,220,80,0.5,0.5,0.5,1.0,300,rural,urban,1.0,
4,0.006,results_full_domain_appears_UserTweetCarousel,220,80,0.21666666666666667,0.218,0.212,1.03,300,rural,urban,0.9160814400629096,rural
5,0.0,results_full_domain_appears_instagram.com,220,80,0.1,0.1,0.1,1.0,300,rural,urban,1.0,
6,0.006,results_full_domain_appears_SearchTweetCarousel,220,80,0.08333333333333333,0.082,0.088,1.07,300,rural,urban,0.8775016197067211,urban
7,0.0,results_full_domain_appears_facebook.com,220,80,0.3,0.3,0.3,1.0,300,rural,urban,1.0,
8,0.0,results_full_domain_appears_youtube.com,130,270,0.2,0.2,0.2,1.0,400,low-income,high-income,1.0,
9,0.008,results_full_domain_appears_linkedin.com,130,270,0.0025,0.008,0.0,inf,400,low-income,high-income,0.3191826100670389,low-income
10,0.004,results_full_domain_appears_wikipedia.org,130,270,0.8875,0.885,0.889,1.0,400,low-income,high-income,0.9001803275930703,high-income
11,0.0,results_full_domain_appears_twitter.com,130,270,0.5,0.5,0.5,1.0,400,low-income,high-income,1.0,
12,0.022,results_full_domain_appears_UserTweetCarousel,130,270,0.215,0.2,0.222,1.11,400,low-income,high-income,0.6089883649726873,high-income
13,0.0,results_full_domain_appears_instagram.com,130,270,0.1,0.1,0.1,1.0,400,low-income,high-income,1.0,
14,0.022,results_full_domain_appears_SearchTweetCarousel,130,270,0.085,0.1,0.078,1.29,400,low-income,high-income,0.4749571622996325,low-income
15,0.0,results_full_domain_appears_facebook.com,130,270,0.3,0.3,0.3,1.0,400,low-income,high-income,1.0,
16,0.0,results_full_domain_appears_youtube.com,340,60,0.2,0.2,0.2,1.0,400,GOP,DEM,1.0,
17,0.017,results_full_domain_appears_linkedin.com,340,60,0.0025,0.0,0.017,inf,400,GOP,DEM,0.3213942797694453,DEM
18,0.005,results_full_domain_appears_wikipedia.org,340,60,0.8875,0.888,0.883,1.01,400,GOP,DEM,0.9138363415922606,GOP
19,0.0,results_full_domain_appears_twitter.com,340,60,0.5,0.5,0.5,1.0,400,GOP,DEM,1.0,
20,0.018,results_full_domain_appears_UserTweetCarousel,340,60,0.215,0.218,0.2,1.09,400,GOP,DEM,0.7563807457037097,GOP
21,0.0,results_full_domain_appears_instagram.com,340,60,0.1,0.1,0.1,1.0,400,GOP,DEM,1.0,
22,0.018,results_full_domain_appears_SearchTweetCarousel,340,60,0.085,0.082,0.1,1.21,400,GOP,DEM,0.6741650916092125,DEM
23,0.0,results_full_domain_appears_facebook.com,340,60,0.3,0.3,0.3,1.0,400,GOP,DEM,1.0,
24,0.041,*results_top_three_domain_appears_cnn.com,220,80,0.03,0.041,0.0,inf,300,rural,urban,0.002519038631744576,rural
25,0.0,results_top_three_domain_appears_wikipedia.org,220,80,0.5,0.5,0.5,1.0,300,rural,urban,1.0,
26,0.006,results_top_three_domain_appears_twitter.com,220,80,0.18333333333333332,0.182,0.188,1.03,300,rural,urban,0.9115671118924102,urban
27,0.006,results_top_three_domain_appears_SearchTweetCarousel,220,80,0.08333333333333333,0.082,0.088,1.07,300,rural,urban,0.8775016197067211,urban
28,0.0,results_top_three_domain_appears_wikipedia.org,130,270,0.5,0.5,0.5,1.0,400,low-income,high-income,1.0,
29,0.022,results_top_three_domain_appears_twitter.com,130,270,0.185,0.2,0.178,1.12,400,low-income,high-income,0.5992473634630802,low-income
30,0.022,results_top_three_domain_appears_SearchTweetCarousel,130,270,0.085,0.1,0.078,1.29,400,low-income,high-income,0.4749571622996325,low-income
31,0.0,results_top_three_domain_appears_wikipedia.org,340,60,0.5,0.5,0.5,1.0,400,GOP,DEM,1.0,
32,0.018,results_top_three_domain_appears_twitter.com,340,60,0.185,0.182,0.2,1.1,400,GOP,DEM,0.7540874832673448,DEM
33,0.018,results_top_three_domain_appears_SearchTweetCarousel,340,60,0.085,0.082,0.1,1.21,400,GOP,DEM,0.6741650916092125,DEM
34,0.0,results_top_domain_appears_wikipedia.org,220,80,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
35,0.0,results_top_domain_appears_wikipedia.org,130,270,0.2,0.2,0.2,1.0,400,low-income,high-income,1.0,
36,0.0,results_top_domain_appears_wikipedia.org,340,60,0.2,0.2,0.2,1.0,400,GOP,DEM,1.0,
