,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_NewsCarousel,220,80,0.8,0.8,0.8,1.0,300,rural,urban,1.0,
1,0.006,results_full_domain_appears_UserTweetCarousel,220,80,0.21666666666666667,0.218,0.212,1.03,300,rural,urban,0.9160814400629096,rural
2,0.025,results_full_domain_appears_wikipedia.org,220,80,0.8066666666666666,0.8,0.825,1.03,300,rural,urban,0.6218446758445026,urban
3,0.0,results_full_domain_appears_NewsCarousel,130,270,0.8,0.8,0.8,1.0,400,low-income,high-income,1.0,
4,0.022,results_full_domain_appears_UserTweetCarousel,130,270,0.215,0.2,0.222,1.11,400,low-income,high-income,0.6089883649726873,high-income
5,0.019,results_full_domain_appears_wikipedia.org,130,270,0.805,0.792,0.811,1.02,400,low-income,high-income,0.6619576677826071,high-income
6,0.0,results_full_domain_appears_NewsCarousel,340,60,0.8,0.8,0.8,1.0,400,GOP,DEM,1.0,
7,0.018,results_full_domain_appears_UserTweetCarousel,340,60,0.215,0.218,0.2,1.09,400,GOP,DEM,0.7563807457037097,GOP
8,0.025,results_full_domain_appears_wikipedia.org,340,60,0.805,0.809,0.783,1.03,400,GOP,DEM,0.6600306646198821,GOP
9,0.041,*results_top_three_domain_appears_cnn.com,220,80,0.03,0.041,0.0,inf,300,rural,urban,0.002519038631744576,rural
10,0.012,*results_top_three_domain_appears_independent.co.uk,340,60,0.01,0.012,0.0,inf,400,GOP,DEM,0.04533929034126976,GOP
11,0.0,results_top_three_domain_appears_NewsCarousel,220,80,0.8,0.8,0.8,1.0,300,rural,urban,1.0,
12,0.0,results_top_three_domain_appears_UserTweetCarousel,220,80,0.0,0.0,0.0,,300,rural,urban,,
13,0.0,results_top_three_domain_appears_wikipedia.org,220,80,0.5,0.5,0.5,1.0,300,rural,urban,1.0,
14,0.0,results_top_three_domain_appears_NewsCarousel,130,270,0.8,0.8,0.8,1.0,400,low-income,high-income,1.0,
15,0.0,results_top_three_domain_appears_UserTweetCarousel,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
16,0.0,results_top_three_domain_appears_wikipedia.org,130,270,0.5,0.5,0.5,1.0,400,low-income,high-income,1.0,
17,0.0,results_top_three_domain_appears_NewsCarousel,340,60,0.8,0.8,0.8,1.0,400,GOP,DEM,1.0,
18,0.0,results_top_three_domain_appears_UserTweetCarousel,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
19,0.0,results_top_three_domain_appears_wikipedia.org,340,60,0.5,0.5,0.5,1.0,400,GOP,DEM,1.0,
20,0.0,results_top_domain_appears_NewsCarousel,220,80,0.6,0.6,0.6,1.0,300,rural,urban,1.0,
21,0.0,results_top_domain_appears_UserTweetCarousel,220,80,0.0,0.0,0.0,,300,rural,urban,,
22,0.0,results_top_domain_appears_wikipedia.org,220,80,0.2,0.2,0.2,1.0,300,rural,urban,1.0,
23,0.0,results_top_domain_appears_NewsCarousel,130,270,0.6,0.6,0.6,1.0,400,low-income,high-income,1.0,
24,0.0,results_top_domain_appears_UserTweetCarousel,130,270,0.0,0.0,0.0,,400,low-income,high-income,,
25,0.0,results_top_domain_appears_wikipedia.org,130,270,0.2,0.2,0.2,1.0,400,low-income,high-income,1.0,
26,0.0,results_top_domain_appears_NewsCarousel,340,60,0.6,0.6,0.6,1.0,400,GOP,DEM,1.0,
27,0.0,results_top_domain_appears_UserTweetCarousel,340,60,0.0,0.0,0.0,,400,GOP,DEM,,
28,0.0,results_top_domain_appears_wikipedia.org,340,60,0.2,0.2,0.2,1.0,400,GOP,DEM,1.0,
