,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,mult_increase,n,name_a,name_b,pval,winner
0,,results_full_domain_frac_,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
1,,results_top_three_domain_frac_,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
2,,results_top_domain_frac_,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
3,,results_full_domain_frac_www.freep.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
4,,results_top_three_domain_frac_www.freep.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
5,,results_top_domain_frac_www.freep.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
6,,results_full_domain_frac_www.medicalmarijuanainc.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
7,,results_top_three_domain_frac_www.medicalmarijuanainc.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
8,,results_top_domain_frac_www.medicalmarijuanainc.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
9,,results_full_domain_frac_www.freewaychevrolet.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
10,,results_top_three_domain_frac_www.freewaychevrolet.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
11,,results_top_domain_frac_www.freewaychevrolet.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
12,,results_full_domain_frac_www.euthanasia.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
13,,results_top_three_domain_frac_www.euthanasia.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
14,,results_top_domain_frac_www.euthanasia.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
15,,results_full_domain_frac_www.motorinntoyotaofcarroll.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
16,,results_top_three_domain_frac_www.motorinntoyotaofcarroll.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
17,,results_top_domain_frac_www.motorinntoyotaofcarroll.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
18,,results_full_domain_frac_www.twincities.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
19,,results_top_three_domain_frac_www.twincities.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
20,,results_top_domain_frac_www.twincities.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
21,0.0,results_full_domain_frac_www.bloomberg.com,378,90,0.01695588362255029,0.017,0.017,1.02,,468,rural,urban,0.9279933265715016,rural
22,,results_top_three_domain_frac_www.bloomberg.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
23,,results_top_domain_frac_www.bloomberg.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
24,,results_full_domain_frac_www.jsonline.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
25,,results_top_three_domain_frac_www.jsonline.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
26,,results_top_domain_frac_www.jsonline.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
27,,results_full_domain_frac_norml.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
28,,results_top_three_domain_frac_norml.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
29,,results_top_domain_frac_norml.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
30,,results_full_domain_frac_www.whitepages.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
31,,results_top_three_domain_frac_www.whitepages.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
32,,results_top_domain_frac_www.whitepages.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
33,,results_full_domain_frac_www.toyotadm.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
34,,results_top_three_domain_frac_www.toyotadm.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
35,,results_top_domain_frac_www.toyotadm.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
36,,results_full_domain_frac_ultimatemotorcycling.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
37,,results_top_three_domain_frac_ultimatemotorcycling.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
38,,results_top_domain_frac_ultimatemotorcycling.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
39,,results_full_domain_frac_www.chapmanchevy.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
40,,results_top_three_domain_frac_www.chapmanchevy.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
41,,results_top_domain_frac_www.chapmanchevy.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
42,,results_full_domain_frac_www.aol.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
43,,results_top_three_domain_frac_www.aol.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
44,,results_top_domain_frac_www.aol.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
45,0.001,results_full_domain_frac_www.vanchevroletkc.com,378,90,0.0002670940170940171,0.0,0.001,inf,,468,rural,urban,0.32002162878902873,urban
46,,results_top_three_domain_frac_www.vanchevroletkc.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
47,,results_top_domain_frac_www.vanchevroletkc.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
48,,results_full_domain_frac_www.hondamorristown.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
49,,results_top_three_domain_frac_www.hondamorristown.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
50,,results_top_domain_frac_www.hondamorristown.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
51,0.0,results_full_domain_frac_www.tripadvisor.com,378,90,0.001310109643442977,0.001,0.001,1.37,,468,rural,urban,0.7538998947768624,rural
52,,results_top_three_domain_frac_www.tripadvisor.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
53,,results_top_domain_frac_www.tripadvisor.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
54,,results_full_domain_frac_collegefootballplayoff.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
55,,results_top_three_domain_frac_collegefootballplayoff.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
56,,results_top_domain_frac_collegefootballplayoff.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
57,0.002,results_full_domain_frac_www.dominos.com,378,90,0.009281305114638446,0.009,0.011,1.18,,468,rural,urban,0.7694021653496059,urban
58,,results_top_three_domain_frac_www.dominos.com,378,90,0.018518518518518517,0.0185,0.0185,,1.0,468,rural,urban,,
59,0.003,results_top_domain_frac_www.dominos.com,378,90,0.053418803418803416,0.053,0.056,1.05,,468,rural,urban,0.9217447987875711,urban
60,,results_full_domain_frac_www.nj.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
61,,results_top_three_domain_frac_www.nj.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
62,,results_top_domain_frac_www.nj.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
63,0.0,results_full_domain_frac_www.usa-banks.net,378,90,0.00030525030525030525,0.0,0.0,inf,,468,rural,urban,0.31795191421725577,rural
64,0.001,results_top_three_domain_frac_www.usa-banks.net,378,90,0.0007122507122507122,0.001,0.0,inf,,468,rural,urban,0.3179519142172559,rural
65,,results_top_domain_frac_www.usa-banks.net,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
66,0.0,results_full_domain_frac_www.branchspot.com,378,90,0.00023741690408357073,0.0,0.0,inf,,468,rural,urban,0.3179519142172557,rural
67,,results_top_three_domain_frac_www.branchspot.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
68,,results_top_domain_frac_www.branchspot.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
69,,results_full_domain_frac_www.dunncountrymotors.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
70,,results_top_three_domain_frac_www.dunncountrymotors.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
71,,results_top_domain_frac_www.dunncountrymotors.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
72,,results_full_domain_frac_www.phoenixnewtimes.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
73,,results_top_three_domain_frac_www.phoenixnewtimes.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
74,,results_top_domain_frac_www.phoenixnewtimes.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
75,,results_full_domain_frac_www.aijustice.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
76,,results_top_three_domain_frac_www.aijustice.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
77,,results_top_domain_frac_www.aijustice.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
78,,results_full_domain_frac_www.schimmergm.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
79,,results_top_three_domain_frac_www.schimmergm.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
80,,results_top_domain_frac_www.schimmergm.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
81,0.002,results_full_domain_frac_www.facebook.com,378,90,0.07076262412800874,0.071,0.069,1.03,,468,rural,urban,0.7327063279540462,rural
82,0.0,results_top_three_domain_frac_www.facebook.com,378,90,0.011396011396011395,0.011,0.011,1.03,,468,rural,urban,0.9602940478196812,rural
83,,results_top_domain_frac_www.facebook.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
84,0.0,results_full_domain_frac_www.chevrolet.com,378,90,0.006562341979008645,0.007,0.006,1.05,,468,rural,urban,0.913327252894651,rural
85,,results_top_three_domain_frac_www.chevrolet.com,378,90,0.018518518518518517,0.0185,0.0185,,1.0,468,rural,urban,,
86,,results_top_domain_frac_www.chevrolet.com,378,90,0.05555555555555555,0.0556,0.0556,,1.0,468,rural,urban,,
87,,results_full_domain_frac_gun-control.procon.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
88,,results_top_three_domain_frac_gun-control.procon.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
89,,results_top_domain_frac_gun-control.procon.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
90,,results_full_domain_frac_deathpenaltyinfo.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
91,,results_top_three_domain_frac_deathpenaltyinfo.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
92,,results_top_domain_frac_deathpenaltyinfo.org,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
93,0.001,results_full_domain_frac_billwalshhonda.com,378,90,0.0008547008547008547,0.001,0.0,inf,,468,rural,urban,0.3179519142172559,rural
94,,results_top_three_domain_frac_billwalshhonda.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
95,,results_top_domain_frac_billwalshhonda.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
96,,results_full_domain_frac_gertrudejekyll.co.uk,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
97,,results_top_three_domain_frac_gertrudejekyll.co.uk,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
98,,results_top_domain_frac_gertrudejekyll.co.uk,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
99,,results_full_domain_frac_www.calfire.ca.gov,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
100,,results_top_three_domain_frac_www.calfire.ca.gov,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
101,,results_top_domain_frac_www.calfire.ca.gov,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
102,,results_full_domain_frac_www.oldnavy.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
103,,results_top_three_domain_frac_www.oldnavy.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
104,,results_top_domain_frac_www.oldnavy.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
105,,results_full_domain_frac_www.foxnews.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
106,,results_top_three_domain_frac_www.foxnews.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
107,,results_top_domain_frac_www.foxnews.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
108,,results_full_domain_frac_www.health.ny.gov,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
109,,results_top_three_domain_frac_www.health.ny.gov,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
110,,results_top_domain_frac_www.health.ny.gov,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
111,,results_full_domain_frac_www.glamour.com,378,90,0.004273504273504274,0.0043,0.0043,,1.0,468,rural,urban,,
112,,results_top_three_domain_frac_www.glamour.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
113,,results_top_domain_frac_www.glamour.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
114,0.0,results_full_domain_frac_www.snagajob.com,378,90,0.002216610549943883,0.002,0.002,1.07,,468,rural,urban,0.9314061091363187,urban
115,,results_top_three_domain_frac_www.snagajob.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
116,,results_top_domain_frac_www.snagajob.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
117,,results_full_domain_frac_MapsPlaces,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
118,,results_top_three_domain_frac_MapsPlaces,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
119,,results_top_domain_frac_MapsPlaces,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
120,,results_full_domain_frac_www.papajohns.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
121,,results_top_three_domain_frac_www.papajohns.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
122,,results_top_domain_frac_www.papajohns.com,378,90,0.0,0.0,0.0,,1.0,468,rural,urban,,
123,0.0,results_full_domain_frac_www.estlechevybuick.com,378,90,0.00023741690408357073,0.0,0.0,inf,,468,rural,urban,0.3179519142172557,rural
124,0.001,results_top_three_domain_frac_www.estlechevybuick.com,378,90,0.0007122507122507122,0.001,0.0,inf,,468,rural,urban,0.3179519142172559,rural
