,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,13651.0,13651,13651,13651,13651.0,13651,13651,13651,13651,13651,13651.0,13651,13651.0,13651.0,13651.0,13651,13651.0,13651,13651,13651.0,13651.0,11344,12045,13651,13651,11725,13651.0,13651,345,1051,322,259.0,17.0,211.0,640.0,322.0,13651.0,13651.0,13651,1408,13651
unique,,1,1,1,,760,1,20,20,20,,8,,,,526,,38,1,,,1340,1803,1137,470,980,,9,80,107,43,,,,,,,,446,7,455
top,,successful,google,selenium,,2018-01-03 12:48:49.498090,localhost,38.82952,-77.273252,"22032, Fairfax, VA",,procon_popular,,,,"About 225,000,000 results (0.65 seconds) ",,eagles,,,,McDonald's,Charts providing a snapshot of the Bitcoin ecosystem.,,twitter.com,Seeking Alpha,,results, Rating: 4.6 - ?144 votes,wellsfargo.com,"(function(){var l3=14;var l4=18;var l5=24;var t=15;try {if (t > l3){let n = 3;if (t > l4)n = t <= l5 ?4 :5;document.getElementById('rhs_title').className+=' rhstl'+n;}
}catch (e){};})();People also askWhat makes an illegal immigrant illegal?""Illegal immigration (also referred to unauthorized or undocumented immigrants) refers to the migration of people across national borders in a way that violates the immigration laws of the destined country.""Mar 13, 2017What Is Illegal Immigration? - Illegal Immigration - ProCon.orghttps://immigration.procon.org/view.answers.php?questionID=000756Search for: What makes an illegal immigrant illegal?Where can I report an illegal immigrant?If you would like to report illegal aliens, please call Immigration and Customs Enforcement (ICE) at 1-866-DHS-2ICE (347-2423). They will need to know names, locations (either work place or residence) and any other specific information you can provide. For more information, please visit www.ice.gov.Jun 16, 2017Reporting Illegal Activityhttps://help.cbp.gov/app/answers/detail/a_id/735/~/reporting-illegal-activitySearch for: Where can I report an illegal immigrant?What is an illegal person?a foreigner who enters the U.S. without an entry or immigrant visa, especially a person who crosses the border by avoiding inspection or who overstays the period of time allowed as a visitor, tourist, or businessperson. Compare resident alien. Expand. Also called illegal immigrant.Illegal alien | Define Illegal alien at Dictionary.comwww.dictionary.com/browse/illegal-alienSearch for: What is an illegal person?What other countries do to illegal immigrants?The top 10 home countries of those illegal immigrants were the People's Republic of China, Vietnam, Thailand, The Philippines, Mongolia, Indonesia, Uzbekistan, Bangladesh, Sri Lanka, The United States of America, respectively.Illegal immigration - Wikipediahttps://en.wikipedia.org/wiki/Illegal_immigrationSearch for: What other countries do to illegal immigrants?",,,,,,,,twitter.com,organization-corporate,wikipedia.org_nan
freq,,13651,13651,13651,,27,13651,698,698,698,,3584,,,,115,,494,13651,,,70,40,734,1478,130,,8472,20,20,20,,,,,,,,1478,927,1309
mean,377.8808145923376,,,,1.0,,,,,,0.0,,4.07713720606549,65068.69694527873,0.570894882854876,,18.756354845798842,,,0.0,6826.0,,,,,,4.70654164530071,,,,,1.0,1.0,1.0,1.0,1.0,377.8808145923376,19.367225844260492,,,
std,217.47990165829026,,,,0.0,,,,,,0.0,,2.0258363175476712,44520.99906213858,0.20936799635294584,,3.715403401178376,,,0.0,3940.848597277833,,,,,,3.4628367738638355,,,,,0.0,0.0,0.0,0.0,0.0,217.47990165829026,10.867797296771617,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,19328.0,0.11503811503799999,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,192.0,,,,1.0,,,,,,0.0,,2.0,20732.0,0.5218600191749999,,16.0,,,0.0,3413.5,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,192.0,10.0,,,
50%,378.0,,,,1.0,,,,,,0.0,,5.0,100667.0,0.621140543277,,18.0,,,0.0,6826.0,,,,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,378.0,19.0,,,
75%,564.0,,,,1.0,,,,,,0.0,,6.0,105763.0,0.7577931394290001,,22.0,,,0.0,10238.5,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,564.0,29.0,,,
max,760.0,,,,1.0,,,,,,0.0,,6.0,123453.0,0.864731795802,,27.0,,,0.0,13651.0,,,,,,14.0,,,,,1.0,1.0,1.0,1.0,1.0,760.0,38.0,,,
