,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,results_avg_edit,results_avg_jacc,has_results,results_full_domain_frac_NewsCarousel,results_full_domain_appears_NewsCarousel,results_full_domain_rank_NewsCarousel,results_full_domain_count_NewsCarousel,results_full_domain_frac_MapsLocations,results_full_domain_appears_MapsLocations,results_full_domain_rank_MapsLocations,results_full_domain_count_MapsLocations,results_full_domain_frac_twitter.com,results_full_domain_appears_twitter.com,results_full_domain_rank_twitter.com,results_full_domain_count_twitter.com,results_full_domain_frac_UserTweetCarousel,results_full_domain_appears_UserTweetCarousel,results_full_domain_rank_UserTweetCarousel,results_full_domain_count_UserTweetCarousel,results_full_domain_frac_google.com,results_full_domain_appears_google.com,results_full_domain_rank_google.com,results_full_domain_count_google.com,results_full_domain_frac_facebook.com,results_full_domain_appears_facebook.com,results_full_domain_rank_facebook.com,results_full_domain_count_facebook.com,results_full_domain_frac_apple.com,results_full_domain_appears_apple.com,results_full_domain_rank_apple.com,results_full_domain_count_apple.com,results_full_domain_frac_wikipedia.org,results_full_domain_appears_wikipedia.org,results_full_domain_rank_wikipedia.org,results_full_domain_count_wikipedia.org,results_full_snippet_mean_polarity,results_full_title_mean_polarity,results_top_three_domain_frac_NewsCarousel,results_top_three_domain_appears_NewsCarousel,results_top_three_domain_frac_MapsLocations,results_top_three_domain_appears_MapsLocations,results_top_three_snippet_mean_polarity,results_top_three_title_mean_polarity,results_top_snippet_mean_polarity,results_top_title_mean_polarity,knowledge_panel_avg_edit,knowledge_panel_avg_jacc,has_knowledge_panel,knowledge_panel_full_domain_frac_wikipedia.org,knowledge_panel_full_domain_appears_wikipedia.org,knowledge_panel_full_domain_rank_wikipedia.org,knowledge_panel_full_domain_count_wikipedia.org,knowledge_panel_full_snippet_mean_polarity,knowledge_panel_full_title_mean_polarity,knowledge_panel_top_three_domain_frac_wikipedia.org,knowledge_panel_top_three_domain_appears_wikipedia.org,knowledge_panel_top_three_snippet_mean_polarity,knowledge_panel_top_three_title_mean_polarity,knowledge_panel_top_domain_frac_wikipedia.org,knowledge_panel_top_domain_appears_wikipedia.org,knowledge_panel_top_snippet_mean_polarity,knowledge_panel_top_title_mean_polarity,results_full_domain_frac_yelp.com,results_full_domain_appears_yelp.com,results_full_domain_rank_yelp.com,results_full_domain_count_yelp.com,results_top_three_domain_frac_twitter.com,results_top_three_domain_appears_twitter.com,results_top_three_domain_frac_UserTweetCarousel,results_top_three_domain_appears_UserTweetCarousel,results_full_domain_frac_tripadvisor.com,results_full_domain_appears_tripadvisor.com,results_full_domain_rank_tripadvisor.com,results_full_domain_count_tripadvisor.com,knowledge_panel_full_domain_frac_b'',knowledge_panel_full_domain_appears_b'',knowledge_panel_full_domain_rank_b'',knowledge_panel_full_domain_count_b'',knowledge_panel_top_three_domain_frac_b'',knowledge_panel_top_three_domain_appears_b'',knowledge_panel_top_domain_frac_b'',knowledge_panel_top_domain_appears_b'',results_full_domain_frac_dominos.com,results_full_domain_appears_dominos.com,results_full_domain_rank_dominos.com,results_full_domain_count_dominos.com,results_full_domain_frac_cnbc.com,results_full_domain_appears_cnbc.com,results_full_domain_rank_cnbc.com,results_full_domain_count_cnbc.com,results_top_three_domain_frac_dominos.com,results_top_three_domain_appears_dominos.com,results_top_three_domain_frac_cnbc.com,results_top_three_domain_appears_cnbc.com,results_top_domain_frac_dominos.com,results_top_domain_appears_dominos.com,results_full_domain_frac_instagram.com,results_full_domain_appears_instagram.com,results_full_domain_rank_instagram.com,results_full_domain_count_instagram.com,results_full_domain_frac_nytimes.com,results_full_domain_appears_nytimes.com,results_full_domain_rank_nytimes.com,results_full_domain_count_nytimes.com,results_full_domain_frac_theatlantic.com,results_full_domain_appears_theatlantic.com,results_full_domain_rank_theatlantic.com,results_full_domain_count_theatlantic.com,results_full_domain_frac_cnn.com,results_full_domain_appears_cnn.com,results_full_domain_rank_cnn.com,results_full_domain_count_cnn.com,results_top_domain_frac_MapsLocations,results_top_domain_appears_MapsLocations,results_top_domain_frac_NewsCarousel,results_top_domain_appears_NewsCarousel,results_top_three_domain_frac_cnn.com,results_top_three_domain_appears_cnn.com,results_full_domain_frac_target.com,results_full_domain_appears_target.com,results_full_domain_rank_target.com,results_full_domain_count_target.com,results_full_domain_frac_bloomberg.com,results_full_domain_appears_bloomberg.com,results_full_domain_rank_bloomberg.com,results_full_domain_count_bloomberg.com,results_top_three_domain_frac_target.com,results_top_three_domain_appears_target.com,results_top_three_domain_frac_wikipedia.org,results_top_three_domain_appears_wikipedia.org,results_top_domain_frac_target.com,results_top_domain_appears_target.com,results_full_domain_frac_latimes.com,results_full_domain_appears_latimes.com,results_full_domain_rank_latimes.com,results_full_domain_count_latimes.com,results_full_domain_frac_linkedin.com,results_full_domain_appears_linkedin.com,results_full_domain_rank_linkedin.com,results_full_domain_count_linkedin.com,results_full_domain_frac_caranddriver.com,results_full_domain_appears_caranddriver.com,results_full_domain_rank_caranddriver.com,results_full_domain_count_caranddriver.com,results_full_domain_frac_wellsfargo.com,results_full_domain_appears_wellsfargo.com,results_full_domain_rank_wellsfargo.com,results_full_domain_count_wellsfargo.com,results_full_domain_frac_vanityfair.com,results_full_domain_appears_vanityfair.com,results_full_domain_rank_vanityfair.com,results_full_domain_count_vanityfair.com,results_top_three_domain_frac_wellsfargo.com,results_top_three_domain_appears_wellsfargo.com,results_top_domain_frac_wellsfargo.com,results_top_domain_appears_wellsfargo.com,results_top_three_domain_frac_bloomberg.com,results_top_three_domain_appears_bloomberg.com,results_full_domain_frac_politico.com,results_full_domain_appears_politico.com,results_full_domain_rank_politico.com,results_full_domain_count_politico.com,results_top_three_domain_frac_facebook.com,results_top_three_domain_appears_facebook.com,results_top_three_domain_frac_google.com,results_top_three_domain_appears_google.com,results_full_domain_frac_nymag.com,results_full_domain_appears_nymag.com,results_full_domain_rank_nymag.com,results_full_domain_count_nymag.com,results_top_three_domain_frac_nymag.com,results_top_three_domain_appears_nymag.com,results_top_three_domain_frac_nytimes.com,results_top_three_domain_appears_nytimes.com,results_top_domain_frac_nymag.com,results_top_domain_appears_nymag.com,results_top_domain_frac_nytimes.com,results_top_domain_appears_nytimes.com,results_full_domain_frac_washingtonpost.com,results_full_domain_appears_washingtonpost.com,results_full_domain_rank_washingtonpost.com,results_full_domain_count_washingtonpost.com,results_full_domain_frac_SearchTweetCarousel,results_full_domain_appears_SearchTweetCarousel,results_full_domain_rank_SearchTweetCarousel,results_full_domain_count_SearchTweetCarousel,results_full_domain_frac_people also ask,results_full_domain_appears_people also ask,results_full_domain_rank_people also ask,results_full_domain_count_people also ask,results_top_three_domain_frac_washingtonpost.com,results_top_three_domain_appears_washingtonpost.com,results_top_three_domain_frac_SearchTweetCarousel,results_top_three_domain_appears_SearchTweetCarousel,results_top_domain_frac_washingtonpost.com,results_top_domain_appears_washingtonpost.com,results_top_domain_frac_cnbc.com,results_top_domain_appears_cnbc.com,results_full_domain_frac_usa.gov,results_full_domain_appears_usa.gov,results_full_domain_rank_usa.gov,results_full_domain_count_usa.gov,results_full_domain_frac_findlaw.com,results_full_domain_appears_findlaw.com,results_full_domain_rank_findlaw.com,results_full_domain_count_findlaw.com,results_top_three_domain_frac_usa.gov,results_top_three_domain_appears_usa.gov,results_full_domain_frac_senate.gov,results_full_domain_appears_senate.gov,results_full_domain_rank_senate.gov,results_full_domain_count_senate.gov,results_top_three_domain_frac_senate.gov,results_top_three_domain_appears_senate.gov,results_top_domain_frac_senate.gov,results_top_domain_appears_senate.gov,results_full_domain_frac_supremecourt.gov,results_full_domain_appears_supremecourt.gov,results_full_domain_rank_supremecourt.gov,results_full_domain_count_supremecourt.gov,results_top_three_domain_frac_supremecourt.gov,results_top_three_domain_appears_supremecourt.gov,results_top_domain_frac_supremecourt.gov,results_top_domain_appears_supremecourt.gov
count,360.0,360,360,360,360.0,360,360,360,360,360,360.0,360,360.0,360.0,360.0,360,360.0,360,360,360.0,360.0,360.0,360.0,338.0,338.0,338.0,338.0,176.0,176.0,176.0,176.0,240.0,240.0,240.0,240.0,160.0,160.0,160.0,160.0,74.0,74.0,74.0,74.0,193.0,193.0,193.0,193.0,43.0,43.0,43.0,43.0,279.0,279.0,279.0,279.0,360.0,360.0,256.0,256.0,167.0,167.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,346.0,346.0,346.0,346.0,346.0,360.0,346.0,346.0,346.0,360.0,346.0,346.0,346.0,360.0,22.0,22.0,22.0,22.0,166.0,166.0,117.0,117.0,7.0,7.0,7.0,7.0,22.0,22.0,22.0,22.0,22.0,22.0,14.0,14.0,20.0,20.0,20.0,20.0,100.0,100.0,100.0,100.0,20.0,20.0,45.0,45.0,20.0,20.0,21.0,21.0,21.0,21.0,117.0,117.0,117.0,117.0,60.0,60.0,60.0,60.0,100.0,100.0,100.0,100.0,2.0,2.0,82.0,82.0,20.0,20.0,20.0,20.0,20.0,20.0,83.0,83.0,83.0,83.0,20.0,20.0,70.0,70.0,20.0,20.0,38.0,38.0,38.0,38.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,21.0,60.0,60.0,60.0,60.0,20.0,20.0,20.0,20.0,38.0,38.0,41.0,41.0,41.0,41.0,10.0,10.0,1.0,1.0,40.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0,40.0,17.0,17.0,17.0,17.0,77.0,77.0,77.0,77.0,40.0,40.0,17.0,17.0,39.0,39.0,20.0,20.0,40.0,40.0,40.0,40.0,19.0,19.0,19.0,19.0,14.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,1.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
unique,,1,1,1,,360,1,20,20,20,,1,,,,282,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,successful,google,selenium,,2018-01-03 23:40:34.549149,localhost,37.727239,-76.847272,"Worden, Nebraska",,popular,,,,"About 128,000,000 results (0.55 seconds) ",,Honda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,360,360,360,,1,360,18,18,18,,360,,,,4,,20,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,580.5,,,,1.0,,,,,,0.0,,3.95,50516.65,0.46051302178439024,,18.01388888888889,,,0.0,3.086842105263158,0.7330826704207773,1.0,0.06986285471845227,1.0,2.775147928994083,1.0,0.07313565074260257,1.0,2.6420454545454546,1.0,0.16435045384397143,1.0,3.184375,2.55,0.06504694447709146,1.0,3.10625,1.0,0.07665836746719092,1.0,6.155405405405405,1.0405405405405406,0.0691501918109659,1.0,5.8264248704663215,1.005181347150259,0.07573724724887522,1.0,7.953488372093023,1.0,0.08042574607623369,1.0,4.974910394265233,1.07168458781362,0.3112828772847517,0.08245237645302235,0.1516927083333331,1.0,0.18163672654690657,1.0,0.38507805555555497,0.1090626851851851,0.3572341666666662,0.1150888888888887,0.11169590643274899,0.9084795321637439,1.0,0.9884393063583815,1.0,1.0,1.0,0.3400760115606927,0.09954694444444442,0.9884393063583815,1.0,0.3400760115606927,0.09954694444444442,1.0,1.0,0.3400760115606927,0.10125138888888886,0.08130110753773855,1.0,6.159090909090909,1.1818181818181819,0.3664658634538154,1.0,0.141975308641975,1.0,0.0813267614738203,1.0,7.142857142857143,1.2857142857142858,0.8181818181818182,1.0,1.3636363636363635,1.0,0.8181818181818182,1.0,1.0,1.0,0.23839965181876943,1.0,3.2779761904761906,3.6,0.07746725741578682,1.0,4.68,1.18,0.15833333333333327,1.0,0.1777777777777779,1.0,1.0,1.0,0.06385281385281386,1.0,7.190476190476191,1.0,0.07927350427350419,1.0,8.247863247863247,1.2393162393162394,0.06989316239316244,1.0,10.033333333333333,1.0,0.07425826585695,1.0,7.475,1.19,1.0,1.0,0.25,1.0,0.11111111111111113,1.0,0.2273376623376623,1.0,2.229166666666667,2.6,0.08717637783902839,1.0,4.903614457831325,1.0,0.6083333333333332,1.0,0.22301587301587314,1.0,1.0,1.0,0.0660087719298246,1.0,9.578947368421053,1.0,0.1266233766233766,1.0,6.363636363636363,1.0,0.06923040195099016,1.0,7.636363636363637,1.0,0.07783882783882781,1.0,1.1904761904761905,1.0,0.06520655270655266,1.0,8.366666666666667,1.0,0.1666666666666666,1.0,1.0,1.0,0.16666666666666674,1.0,0.06685099239656365,1.0,8.463414634146341,1.0,0.16666666666666669,1.0,0.16666666666666666,1.0,0.08122258771929833,1.0,8.4,1.475,0.11111111111111113,1.0,0.11111111111111113,1.0,0.25,1.0,0.25,1.0,0.11765350877192979,1.0,4.4375,2.0,0.052631578947368404,1.0,2.0,1.0,0.061403508771929814,1.0,12.0,1.0,0.1430555555555556,1.0,0.11111111111111115,1.0,0.25,1.0,0.25,1.0,0.09962797619047618,1.0,6.075,1.0,0.2050751879699248,1.0,6.868421052631579,1.5789473684210527,0.3333333333333333,1.0,0.12291666666666665,1.0,2.425,1.95,0.3249999999999999,1.0,1.0,1.0,0.20000000000000004,1.0,2.6666666666666656,3.0,0.3333333333333332,1.0,1.0,1.0
std,104.06728592598157,,,,0.0,,,,,,0.0,,2.158806541228572,17114.387368600357,0.41393044373981186,,3.973074613164261,,,0.0,2.362952686307288,0.21874410460369184,0.0,0.011873130129624586,0.0,2.0213337273689524,0.0,0.01447037324069258,0.0,1.2971372074938474,0.0,0.057025840100180906,0.0,0.6276538843467514,0.9537418051875168,0.006535326843372777,0.0,0.6500786115985219,0.0,0.01902606168922338,0.0,1.5303452821863792,0.19856948607402888,0.009106019602524338,0.0,1.6761737696446928,0.07198157507486946,0.012305135766119586,0.0,1.3964834810898445,0.0,0.02444197416658152,0.0,2.099010020814932,0.25842848421228193,0.22354126281509537,0.16018530398599584,0.024699193394137182,0.0,0.04779735820736143,0.0,0.2500105177792165,0.19038190416421058,0.33480546070428585,0.22727885977151607,0.22226859977081637,0.1885923146135645,0.0,0.07525333495298679,0.0,0.0,0.0,0.30019037829348993,0.2077583686399688,0.07525333495298679,0.0,0.30019037829348993,0.2077583686399688,0.0,0.0,0.30019037829348993,0.209497150972215,0.02921870459510728,0.0,1.635807385013835,0.3947710169758613,0.1233918500521148,0.0,0.02772451257483066,0.0,0.025962635743368656,0.0,1.546886273407694,0.48795003647426666,0.24618298195866548,0.0,0.49236596391733095,0.0,0.24618298195866548,0.0,0.0,0.0,0.17379879088436032,0.0,2.1117707381331936,2.7222281895148823,0.02895143386965263,0.0,2.98778658656683,0.3861229196653681,0.020352641585140184,0.0,0.0366987921708787,0.0,0.0,0.0,0.006199371881704326,0.0,0.5117663157191589,0.0,0.023155693092037143,0.0,2.192880261940127,0.4285012503416482,0.0072138297742572665,0.0,1.6152521623643161,0.0,0.01986222015620832,0.0,3.119970700458126,0.3942772444036623,0.0,0.0,0.0,0.0,2.8476619731297836e-17,0.0,0.04476178467076537,0.0,0.9388756962981922,0.8825799501580877,0.012218448206857746,0.0,2.707777676823835,0.0,0.1458489966525701,0.0,0.09851866553882387,0.0,0.0,0.0,0.00674825607195253,0.0,2.3667925490266404,0.0,0.023963632368580776,0.0,2.012945118960786,0.0,0.005645664273402835,0.0,1.9159842564581973,0.0,0.0022985165564122926,0.0,0.8728715609439694,0.0,0.009331456494227603,0.0,1.3144137917030572,0.0,5.695323946259567e-17,0.0,0.0,0.0,8.438445104500509e-17,0.0,0.01329840928288997,0.0,1.8179323553918305,0.0,2.925694557147251e-17,0.0,,,0.02890308008485613,0.0,3.6989256929615757,0.5057363253408151,2.8476619731297836e-17,0.0,2.8476619731297836e-17,0.0,0.0,0.0,0.0,0.0,0.012607998777174532,0.0,1.0450585801271792,0.0,1.4304896245381992e-17,0.0,0.0,0.0,0.005013407208134261,0.0,1.7320508075688772,0.0,0.027813367514062406,0.0,4.291468873614597e-17,0.0,0.0,0.0,0.0,0.0,0.037221377933584425,0.0,2.8679260799399975,0.0,0.08898347619912413,0.0,0.8950807732508138,0.5072572735017882,0.0,0.0,0.009316949906249122,0.0,0.3354101966249687,0.22360679774997907,0.03726779962499648,0.0,,,2.8476619731297836e-17,0.0,9.112518314015307e-16,0.0,1.1390647892519134e-16,0.0,0.0,0.0
min,401.0,,,,1.0,,,,,,0.0,,1.0,20743.0,0.0314465408805,,8.0,,,0.0,0.10526315789473684,0.17853457172342618,1.0,0.05263157894736842,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0,0.0625,1.0,2.0,1.0,0.05555555555555555,1.0,2.0,1.0,0.058823529411764705,1.0,3.0,1.0,0.05555555555555555,1.0,3.0,1.0,0.0625,1.0,6.0,1.0,0.05263157894736842,1.0,2.0,1.0,-0.2681,-0.12586666666666668,0.1111111111111111,1.0,0.16666666666666666,1.0,-0.21230000000000002,-0.10606666666666666,-0.2732,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.058823529411764705,1.0,4.0,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,0.058823529411764705,1.0,4.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.07142857142857142,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.05555555555555555,1.0,1.0,1.0,0.0625,1.0,5.0,1.0,0.05263157894736842,1.0,2.0,1.0,1.0,1.0,0.25,1.0,0.1111111111111111,1.0,0.18181818181818182,1.0,1.5,2.0,0.07142857142857142,1.0,2.0,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.07142857142857142,1.0,5.0,1.0,0.058823529411764705,1.0,6.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.05555555555555555,1.0,6.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,6.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,1.0,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.10526315789473684,1.0,3.0,2.0,0.05263157894736842,1.0,2.0,1.0,0.05263157894736842,1.0,9.0,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.0625,1.0,3.0,1.0,0.06666666666666667,1.0,5.0,1.0,0.3333333333333333,1.0,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
25%,490.75,,,,1.0,,,,,,0.0,,1.75,38794.0,0.049298880573225005,,16.0,,,0.0,0.8947368421052632,0.5814326024852341,1.0,0.0625,1.0,2.0,1.0,0.0625,1.0,2.0,1.0,0.08333333333333333,1.0,3.0,1.0,0.0625,1.0,3.0,1.0,0.0625,1.0,5.0,1.0,0.0625,1.0,5.0,1.0,0.0625,1.0,7.0,1.0,0.0625,1.0,3.75,1.0,0.191028125,-0.0002083333333333289,0.1111111111111111,1.0,0.16666666666666666,1.0,0.14049999999999999,0.0,0.0,0.0,0.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0625,1.0,5.0,1.0,0.3333333333333333,1.0,0.1111111111111111,1.0,0.06066176470588235,1.0,7.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.0625,1.0,2.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.0625,1.0,8.0,1.0,0.0625,1.0,9.0,1.0,0.0625,1.0,7.0,1.0,1.0,1.0,0.25,1.0,0.1111111111111111,1.0,0.2,1.0,1.5,2.0,0.07692307692307693,1.0,2.0,1.0,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.125,1.0,5.0,1.0,0.07142857142857142,1.0,6.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.05555555555555555,1.0,7.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,7.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.05263157894736842,1.0,5.0,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.10526315789473684,1.0,3.5,2.0,0.05263157894736842,1.0,2.0,1.0,0.0625,1.0,12.0,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.0625,1.0,3.0,1.0,0.125,1.0,6.5,1.0,0.3333333333333333,1.0,0.125,1.0,2.5,2.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
50%,580.5,,,,1.0,,,,,,0.0,,5.0,48088.0,0.45420480264620006,,17.0,,,0.0,2.6578947368421053,0.7781253833885413,1.0,0.06666666666666667,1.0,2.0,1.0,0.07142857142857142,1.0,2.0,1.0,0.1875,1.0,3.0,3.0,0.0625,1.0,3.0,1.0,0.07692307692307693,1.0,6.0,1.0,0.06666666666666667,1.0,5.0,1.0,0.07692307692307693,1.0,7.0,1.0,0.07142857142857142,1.0,5.0,1.0,0.28300238095238095,0.0224375,0.16666666666666666,1.0,0.16666666666666666,1.0,0.4584,0.0,0.41169999999999995,0.0,0.05263157894736842,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.4215,0.0,1.0,1.0,0.4215,0.0,1.0,1.0,0.4215,0.0,0.06971153846153846,1.0,6.0,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.07692307692307693,1.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16233766233766234,1.0,2.5,2.0,0.0625,1.0,6.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.06666666666666667,1.0,9.0,1.0,0.06666666666666667,1.0,10.0,1.0,0.06666666666666667,1.0,8.0,1.0,1.0,1.0,0.25,1.0,0.1111111111111111,1.0,0.2,1.0,1.75,2.0,0.08333333333333333,1.0,5.0,1.0,0.6666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.06666666666666667,1.0,8.5,1.0,0.13392857142857142,1.0,6.0,1.0,0.07142857142857142,1.0,7.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.0625,1.0,8.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.0625,1.0,10.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.0625,1.0,8.5,1.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.125,1.0,4.0,2.0,0.05263157894736842,1.0,2.0,1.0,0.0625,1.0,13.0,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.10416666666666666,1.0,5.0,1.0,0.25,1.0,6.5,2.0,0.3333333333333333,1.0,0.125,1.0,2.5,2.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
75%,670.25,,,,1.0,,,,,,0.0,,6.0,64742.5,0.8664677230842499,,21.0,,,0.0,5.105263157894737,0.9255183413078151,1.0,0.07692307692307693,1.0,3.0,1.0,0.07692307692307693,1.0,3.0,1.0,0.21052631578947367,1.0,4.0,3.0,0.07142857142857142,1.0,4.0,1.0,0.08333333333333333,1.0,7.0,1.0,0.07692307692307693,1.0,7.0,1.0,0.08333333333333333,1.0,9.0,1.0,0.09090909090909091,1.0,6.0,1.0,0.4723,0.169025,0.16666666666666666,1.0,0.16666666666666666,1.0,0.5890833333333333,0.14049999999999999,0.6124,0.0,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,1.0,0.4215,0.0,1.0,1.0,0.4215,0.0,1.0,1.0,0.4215,0.0,0.0890151515151515,1.0,7.0,1.0,0.5,1.0,0.16666666666666666,1.0,0.09728506787330317,1.0,7.75,1.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4375,1.0,5.75,7.0,0.07692307692307693,1.0,8.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,1.0,0.0625,1.0,7.0,1.0,0.08333333333333333,1.0,10.0,1.0,0.07692307692307693,1.0,12.0,1.0,0.08333333333333333,1.0,10.0,1.0,1.0,1.0,0.25,1.0,0.1111111111111111,1.0,0.2857142857142857,1.0,3.0,3.25,0.1,1.0,8.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,0.06666666666666667,1.0,12.0,1.0,0.14285714285714285,1.0,6.75,1.0,0.07142857142857142,1.0,8.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.07692307692307693,1.0,10.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,0.07692307692307693,1.0,10.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,12.0,2.0,0.1111111111111111,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.125,1.0,5.5,2.0,0.05263157894736842,1.0,2.0,1.0,0.06666666666666667,1.0,13.0,1.0,0.16666666666666666,1.0,0.1111111111111111,1.0,0.25,1.0,0.25,1.0,0.14285714285714285,1.0,9.0,1.0,0.2857142857142857,1.0,7.5,2.0,0.3333333333333333,1.0,0.125,1.0,2.5,2.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,2.6666666666666665,3.0,0.3333333333333333,1.0,1.0,1.0
