,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.02,results_full_domain_appears_UserTweetCarousel,100,100,0.11,0.1,0.12,1.2,200,low-income,high-income,0.6532426535930675,high-income
1,0.0,results_full_domain_appears_twitter.com,100,100,0.2,0.2,0.2,1.0,200,low-income,high-income,1.0,
2,0.02,results_full_domain_appears_SearchTweetCarousel,100,100,0.29,0.3,0.28,1.07,200,low-income,high-income,0.7567525569717783,low-income
3,0.07,results_full_domain_appears_wikipedia.org,100,100,0.735,0.77,0.7,1.1,200,low-income,high-income,0.2643148563513578,low-income
4,0.0,results_full_domain_appears_NewsCarousel,100,100,0.8,0.8,0.8,1.0,200,low-income,high-income,1.0,
5,0.0,results_top_three_domain_appears_UserTweetCarousel,100,100,0.0,0.0,0.0,,200,low-income,high-income,,
6,0.0,results_top_three_domain_appears_twitter.com,100,100,0.2,0.2,0.2,1.0,200,low-income,high-income,1.0,
7,0.02,results_top_three_domain_appears_SearchTweetCarousel,100,100,0.29,0.3,0.28,1.07,200,low-income,high-income,0.7567525569717783,low-income
8,0.0,results_top_three_domain_appears_wikipedia.org,100,100,0.4,0.4,0.4,1.0,200,low-income,high-income,1.0,
9,0.0,results_top_three_domain_appears_NewsCarousel,100,100,0.8,0.8,0.8,1.0,200,low-income,high-income,1.0,
10,0.0,results_top_domain_appears_UserTweetCarousel,100,100,0.0,0.0,0.0,,200,low-income,high-income,,
11,0.0,results_top_domain_appears_twitter.com,100,100,0.0,0.0,0.0,,200,low-income,high-income,,
12,0.0,results_top_domain_appears_SearchTweetCarousel,100,100,0.0,0.0,0.0,,200,low-income,high-income,,
13,0.0,results_top_domain_appears_wikipedia.org,100,100,0.2,0.2,0.2,1.0,200,low-income,high-income,1.0,
14,0.0,results_top_domain_appears_NewsCarousel,100,100,0.6,0.6,0.6,1.0,200,low-income,high-income,1.0,
