,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_top_domain_frac_UserTweetCarousel,38,38,0.0,0.0,0.0,,76,rural,urban,,
1,0.0,results_top_domain_frac_NewsCarousel,38,38,0.34210526315789475,0.342,0.342,1.0,76,rural,urban,1.0,
2,0.026,results_top_domain_frac_MapsLocations,38,38,0.013157894736842105,0.026,0.0,inf,76,rural,urban,0.32380587235541847,rural
3,0.0,results_top_domain_frac_wikipedia.org,38,38,0.07894736842105263,0.079,0.079,1.0,76,rural,urban,1.0,
4,0.0,results_top_domain_frac_twitter.com,38,38,0.0,0.0,0.0,,76,rural,urban,,
5,0.0,results_top_domain_frac_facebook.com,38,38,0.0,0.0,0.0,,76,rural,urban,,
6,0.0,results_top_domain_frac_UserTweetCarousel,38,38,0.0,0.0,0.0,,76,low-income,high-income,,
7,0.0,results_top_domain_frac_NewsCarousel,38,38,0.34210526315789475,0.342,0.342,1.0,76,low-income,high-income,1.0,
8,0.026,results_top_domain_frac_MapsLocations,38,38,0.013157894736842105,0.0,0.026,inf,76,low-income,high-income,0.32380587235541847,high-income
9,0.0,results_top_domain_frac_wikipedia.org,38,38,0.07894736842105263,0.079,0.079,1.0,76,low-income,high-income,1.0,
10,0.0,results_top_domain_frac_twitter.com,38,38,0.0,0.0,0.0,,76,low-income,high-income,,
11,0.0,results_top_domain_frac_facebook.com,38,38,0.0,0.0,0.0,,76,low-income,high-income,,
12,0.0,results_top_domain_frac_UserTweetCarousel,38,38,0.0,0.0,0.0,,76,GOP,DEM,,
13,0.0,results_top_domain_frac_NewsCarousel,38,38,0.34210526315789475,0.342,0.342,1.0,76,GOP,DEM,1.0,
14,0.026,results_top_domain_frac_MapsLocations,38,38,0.013157894736842105,0.026,0.0,inf,76,GOP,DEM,0.32380587235541847,GOP
15,0.0,results_top_domain_frac_wikipedia.org,38,38,0.07894736842105263,0.079,0.079,1.0,76,GOP,DEM,1.0,
16,0.0,results_top_domain_frac_twitter.com,38,38,0.0,0.0,0.0,,76,GOP,DEM,,
17,0.0,results_top_domain_frac_facebook.com,38,38,0.0,0.0,0.0,,76,GOP,DEM,,
