,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.0,results_full_domain_appears_forbes.com,100,100,0.3,0.3,0.3,1.0,200,rural,urban,1.0,
1,0.02,results_full_domain_appears_NewsCarousel,100,100,0.49,0.5,0.48,1.04,200,rural,urban,0.7785921243227799,rural
2,0.01,results_full_domain_appears_studentloanhero.com,100,100,0.105,0.11,0.1,1.1,200,rural,urban,0.8186883076648754,rural
3,0.0,results_full_domain_appears_nerdwallet.com,100,100,0.4,0.4,0.4,1.0,200,rural,urban,1.0,
4,0.02,results_full_domain_appears_nytimes.com,100,100,0.22,0.21,0.23,1.1,200,rural,urban,0.7343811498650284,urban
5,0.0,results_full_domain_appears_theatlantic.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
6,0.02,results_top_three_domain_appears_forbes.com,100,100,0.19,0.18,0.2,1.11,200,rural,urban,0.720126399489589,urban
7,0.0,results_top_three_domain_appears_NewsCarousel,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
8,0.16,*results_full_domain_appears_MapsLocations,100,100,0.49,0.41,0.57,1.39,200,rural,urban,0.023597702209744012,urban
9,0.0,results_full_domain_appears_lendingclub.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
10,0.0,results_full_domain_appears_creditkarma.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
11,0.01,results_full_domain_appears_bankrate.com,100,100,0.205,0.21,0.2,1.05,200,rural,urban,0.8618147638740549,rural
12,0.0,results_full_domain_appears_avant.com,100,100,0.3,0.3,0.3,1.0,200,rural,urban,1.0,
13,0.02,results_full_domain_appears_wellsfargo.com,100,100,0.39,0.4,0.38,1.05,200,rural,urban,0.7732248023162782,rural
14,0.16,*results_top_three_domain_appears_MapsLocations,100,100,0.25,0.17,0.33,1.94,200,rural,urban,0.008851396430777612,urban
15,0.0,results_top_three_domain_appears_lendingclub.com,100,100,0.2,0.2,0.2,1.0,200,rural,urban,1.0,
16,0.01,results_full_domain_appears_wikipedia.org,100,100,0.215,0.21,0.22,1.05,200,rural,urban,0.8641866051422665,urban
17,0.01,results_top_three_domain_appears_creditkarma.com,100,100,0.095,0.09,0.1,1.11,200,rural,urban,0.8105926042819591,urban
18,0.02,results_full_domain_appears_checkngo.com,100,100,0.19,0.2,0.18,1.11,200,rural,urban,0.720126399489589,rural
19,0.0,results_full_domain_appears_acecashexpress.com,100,100,0.1,0.1,0.1,1.0,200,rural,urban,1.0,
20,0.02,results_full_domain_appears_cashnetusa.com,100,100,0.29,0.3,0.28,1.07,200,rural,urban,0.7567525569717783,rural
21,0.02,results_full_domain_appears_speedycash.com,100,100,0.19,0.2,0.18,1.11,200,rural,urban,0.720126399489589,rural
22,0.05,results_top_three_domain_appears_checkngo.com,100,100,0.035,0.01,0.06,6.0,200,rural,urban,0.05547724711268938,urban
23,0.03,results_top_three_domain_appears_acecashexpress.com,100,100,0.045,0.06,0.03,2.0,200,rural,urban,0.3087048334640283,rural
