,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.082,*results_full_domain_appears_MapsLocations,380,380,0.2776315789473684,0.237,0.318,1.34,760,low-income,high-income,0.01200465576843682,high-income
1,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.7934210526315789,0.832,0.755,1.1,760,low-income,high-income,0.009329751893491688,low-income
2,0.068,*results_full_domain_appears_google.com,380,380,0.11842105263157894,0.153,0.084,1.81,760,low-income,high-income,0.0034807897812747495,low-income
3,0.074,**results_full_domain_appears_yelp.com,380,380,0.04473684210526316,0.008,0.082,10.33,760,low-income,high-income,8.745370341660648e-07,high-income
4,0.005,results_full_domain_appears_UserTweetCarousel,380,380,0.2394736842105263,0.237,0.242,1.02,760,low-income,high-income,0.8652325433482548,high-income
5,0.082,*results_full_domain_appears_MapsLocations,380,380,0.2776315789473684,0.237,0.318,1.34,760,low-income,high-income,0.01200465576843682,high-income
6,0.018,results_full_domain_appears_youtube.com,380,380,0.06447368421052632,0.074,0.055,1.33,760,low-income,high-income,0.3018222895469277,low-income
7,0.003,results_full_domain_appears_twitter.com,380,380,0.19342105263157894,0.195,0.192,1.01,760,low-income,high-income,0.9269474141829235,low-income
8,0.008,results_full_domain_appears_SearchTweetCarousel,380,380,0.1013157894736842,0.105,0.097,1.08,760,low-income,high-income,0.7188020047643129,low-income
9,0.076,*results_full_domain_appears_wikipedia.org,380,380,0.7934210526315789,0.832,0.755,1.1,760,low-income,high-income,0.009329751893491688,low-income
10,0.0,results_full_domain_appears_NewsCarousel,380,380,0.8421052631578947,0.842,0.842,1.0,760,low-income,high-income,1.0,
11,0.074,**results_full_domain_appears_yelp.com,380,380,0.04473684210526316,0.008,0.082,10.33,760,low-income,high-income,8.745370341660648e-07,high-income
12,0.058,results_full_domain_appears_facebook.com,380,380,0.2710526315789474,0.3,0.242,1.24,760,low-income,high-income,0.07277249335746452,low-income
13,0.066,*results_top_three_domain_appears_UserTweetCarousel,380,380,0.13026315789473683,0.097,0.163,1.68,760,low-income,high-income,0.007020529120221622,high-income
14,0.079,*results_top_three_domain_appears_MapsLocations,380,380,0.24736842105263157,0.208,0.287,1.38,760,low-income,high-income,0.0116323589333518,high-income
15,0.1,*results_top_three_domain_appears_NewsCarousel,380,380,0.6763157894736842,0.726,0.626,1.16,760,low-income,high-income,0.0031818889103003515,low-income
16,0.024,*results_top_three_domain_appears_facebook.com,380,380,0.011842105263157895,0.024,0.0,inf,760,low-income,high-income,0.00259500479866564,low-income
17,0.066,*results_top_three_domain_appears_UserTweetCarousel,380,380,0.13026315789473683,0.097,0.163,1.68,760,low-income,high-income,0.007020529120221622,high-income
18,0.079,*results_top_three_domain_appears_MapsLocations,380,380,0.24736842105263157,0.208,0.287,1.38,760,low-income,high-income,0.0116323589333518,high-income
19,0.0,results_top_three_domain_appears_youtube.com,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
20,0.003,results_top_three_domain_appears_twitter.com,380,380,0.14342105263157895,0.142,0.145,1.02,760,low-income,high-income,0.9177081065884632,high-income
21,0.008,results_top_three_domain_appears_SearchTweetCarousel,380,380,0.1013157894736842,0.105,0.097,1.08,760,low-income,high-income,0.7188020047643129,low-income
22,0.032,results_top_three_domain_appears_wikipedia.org,380,380,0.3105263157894737,0.326,0.295,1.11,760,low-income,high-income,0.3474957682681268,low-income
23,0.1,*results_top_three_domain_appears_NewsCarousel,380,380,0.6763157894736842,0.726,0.626,1.16,760,low-income,high-income,0.0031818889103003515,low-income
24,0.0,results_top_three_domain_appears_yelp.com,380,380,0.002631578947368421,0.003,0.003,1.0,760,low-income,high-income,1.0,
25,0.024,*results_top_three_domain_appears_facebook.com,380,380,0.011842105263157895,0.024,0.0,inf,760,low-income,high-income,0.00259500479866564,low-income
26,0.0,results_top_domain_appears_UserTweetCarousel,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
27,0.0,results_top_domain_appears_MapsLocations,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
28,0.0,results_top_domain_appears_youtube.com,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
29,0.0,results_top_domain_appears_twitter.com,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
30,0.0,results_top_domain_appears_SearchTweetCarousel,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
31,0.005,results_top_domain_appears_wikipedia.org,380,380,0.07894736842105263,0.082,0.076,1.07,760,low-income,high-income,0.788237080453269,low-income
32,0.003,results_top_domain_appears_NewsCarousel,380,380,0.34078947368421053,0.339,0.342,1.01,760,low-income,high-income,0.9390966570690011,high-income
33,0.0,results_top_domain_appears_yelp.com,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
34,0.0,results_top_domain_appears_facebook.com,380,380,0.0,0.0,0.0,,760,low-income,high-income,,
