,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.161,**results_full_domain_appears_wikipedia.org,180,180,0.775,0.856,0.694,1.23,360,GOP,DEM,0.00023365699019045705,GOP
1,0.072,*results_full_domain_appears_apple.com,180,180,0.11944444444444445,0.156,0.083,1.87,360,GOP,DEM,0.03474418350937194,GOP
2,0.2,**results_full_domain_appears_MapsLocations,180,180,0.4888888888888889,0.389,0.589,1.51,360,GOP,DEM,0.00013282432827797352,DEM
3,0.228,**results_full_domain_appears_facebook.com,180,180,0.5361111111111111,0.65,0.422,1.54,360,GOP,DEM,1.2092390377347275e-05,GOP
4,0.0,results_full_domain_appears_twitter.com,180,180,0.6666666666666666,0.667,0.667,1.0,360,GOP,DEM,1.0,
5,0.161,**results_full_domain_appears_wikipedia.org,180,180,0.775,0.856,0.694,1.23,360,GOP,DEM,0.00023365699019045705,GOP
6,0.228,**results_full_domain_appears_facebook.com,180,180,0.5361111111111111,0.65,0.422,1.54,360,GOP,DEM,1.2092390377347275e-05,GOP
7,0.0,results_full_domain_appears_UserTweetCarousel,180,180,0.4444444444444444,0.444,0.444,1.0,360,GOP,DEM,1.0,
8,0.228,**results_top_three_domain_appears_MapsLocations,180,180,0.4638888888888889,0.35,0.578,1.65,360,GOP,DEM,1.2092390377347346e-05,DEM
9,0.122,*results_top_three_domain_appears_NewsCarousel,180,180,0.7111111111111111,0.772,0.65,1.19,360,GOP,DEM,0.010443037791173766,GOP
10,0.033,results_top_three_domain_appears_twitter.com,180,180,0.46111111111111114,0.444,0.478,1.08,360,GOP,DEM,0.5271596261968678,DEM
11,0.022,results_top_three_domain_appears_wikipedia.org,180,180,0.19444444444444445,0.206,0.183,1.12,360,GOP,DEM,0.5954691231218754,GOP
12,0.033,results_top_three_domain_appears_facebook.com,180,180,0.027777777777777776,0.044,0.011,4.0,360,GOP,DEM,0.054811174809654216,GOP
13,0.061,results_top_three_domain_appears_UserTweetCarousel,180,180,0.325,0.294,0.356,1.21,360,GOP,DEM,0.216905574777705,DEM
