,add_inc,column,len(a),len(b),mean,mean_a,mean_b,mult_inc,n,name_a,name_b,pval,winner
0,0.058,*results_full_domain_appears_MapsLocations,836,304,0.21403508771929824,0.199,0.257,1.29,1140,rural,urban,0.04331672538482405,urban
1,0.004,results_full_domain_appears_SearchTweetCarousel,836,304,0.0824561403508772,0.081,0.086,1.05,1140,rural,urban,0.822416261317017,urban
2,0.007,results_full_domain_appears_twitter.com,836,304,0.1394736842105263,0.138,0.145,1.05,1140,rural,urban,0.7598343556329439,urban
3,0.007,results_full_domain_appears_NewsCarousel,836,304,0.787719298245614,0.789,0.783,1.01,1140,rural,urban,0.8114747807137632,rural
4,0.048,results_full_domain_appears_wikipedia.org,836,304,0.8184210526315789,0.831,0.783,1.06,1140,rural,urban,0.07335788366351455,rural
5,0.038,results_full_domain_appears_facebook.com,836,304,0.28771929824561404,0.298,0.26,1.15,1140,rural,urban,0.2023231843505911,rural
6,0.001,results_full_domain_appears_UserTweetCarousel,836,304,0.2412280701754386,0.242,0.24,1.01,1140,rural,urban,0.9584186143224309,rural
7,0.058,*results_full_domain_appears_MapsLocations,836,304,0.21403508771929824,0.199,0.257,1.29,1140,rural,urban,0.04331672538482405,urban
8,0.014,results_full_domain_appears_SearchTweetCarousel,494,1026,0.08355263157894736,0.093,0.079,1.18,1520,low-income,high-income,0.3628273101335441,low-income
9,0.015,results_full_domain_appears_twitter.com,494,1026,0.1355263157894737,0.126,0.14,1.12,1520,low-income,high-income,0.4211949486421711,high-income
10,0.002,results_full_domain_appears_NewsCarousel,494,1026,0.7881578947368421,0.789,0.788,1.0,1520,low-income,high-income,0.9305755800048274,low-income
11,0.002,results_full_domain_appears_wikipedia.org,494,1026,0.8125,0.814,0.812,1.0,1520,low-income,high-income,0.9301051439205578,low-income
12,0.004,results_full_domain_appears_facebook.com,494,1026,0.2769736842105263,0.279,0.276,1.01,1520,low-income,high-income,0.885946792152534,low-income
13,0.006,results_full_domain_appears_UserTweetCarousel,494,1026,0.24078947368421053,0.237,0.243,1.02,1520,low-income,high-income,0.8024204653726328,high-income
14,0.014,results_full_domain_appears_MapsLocations,494,1026,0.21513157894736842,0.225,0.211,1.07,1520,low-income,high-income,0.5327144845966707,low-income
15,0.01,results_full_domain_appears_SearchTweetCarousel,1292,228,0.08355263157894736,0.082,0.092,1.12,1520,GOP,DEM,0.6265442009249849,DEM
16,0.01,results_full_domain_appears_twitter.com,1292,228,0.1355263157894737,0.137,0.127,1.08,1520,GOP,DEM,0.6843814530452488,GOP
17,0.002,results_full_domain_appears_NewsCarousel,1292,228,0.7881578947368421,0.788,0.789,1.0,1520,GOP,DEM,0.9579755604990222,DEM
18,0.037,results_full_domain_appears_wikipedia.org,1292,228,0.8125,0.818,0.781,1.05,1520,GOP,DEM,0.20553409639236953,GOP
19,0.027,results_full_domain_appears_facebook.com,1292,228,0.2769736842105263,0.281,0.254,1.1,1520,GOP,DEM,0.39947308345394794,GOP
20,0.005,results_full_domain_appears_UserTweetCarousel,1292,228,0.24078947368421053,0.241,0.237,1.02,1520,GOP,DEM,0.8795839618813917,GOP
21,0.011,results_full_domain_appears_MapsLocations,1292,228,0.21513157894736842,0.217,0.206,1.05,1520,GOP,DEM,0.7173638533068947,GOP
22,0.011,*results_top_three_domain_appears_cnn.com,836,304,0.007894736842105263,0.011,0.0,inf,1140,rural,urban,0.002652119227098574,rural
23,0.075,*results_top_three_domain_appears_NewsCarousel,836,304,0.6736842105263158,0.694,0.618,1.12,1140,rural,urban,0.019436797638456644,rural
24,0.015,*results_top_three_domain_appears_facebook.com,836,304,0.014035087719298246,0.018,0.003,5.45,1140,rural,urban,0.009627318075961238,rural
25,0.065,*results_top_three_domain_appears_MapsLocations,836,304,0.17894736842105263,0.161,0.227,1.41,1140,rural,urban,0.016526392168989115,urban
26,0.001,results_top_three_domain_appears_SearchTweetCarousel,836,304,0.08157894736842106,0.081,0.082,1.01,1140,rural,urban,0.9611321824161325,urban
