,id,status,search_engine_name,scrape_method,page_number,requested_at,requested_by,latitude,longitude,reported_location,is_control,category,urban_rural_code,median_income,percent_dem,num_results_for_query,num_results,query,effective_query,no_results,id,title,snippet,link,raw_domain,visible_link,rank,link_type,rating,sitelinks,misc,isTweetCarousel,isMapsPlaces,isMapsLocations,isNewsCarousel,isKnowledgeBox,serp_id,scraper_search_id,domain,code,domains_plus_codes
count,25659.0,25659,25659,25659,25659.0,25659,25659,25659,25659,25659,25659.0,25659,25659.0,25659.0,25659.0,25659,25659.0,25659,25659,25659.0,25659.0,23989,23208,25659,25659,23398,25659.0,25659,2110,2095,1401,185.0,2.0,437.0,275.0,1401.0,25659.0,25659.0,25659,0.0,25659
unique,,1,1,1,,1586,1,40,40,40,,3,,,,810,,40,1,,,2485,2322,1504,556,1280,,9,68,177,91,,,,,,,,528,0.0,528
top,,successful,google,selenium,,2018-01-14 05:38:33.932656,localhost,36.255169,-82.668913,"48027, Goodells, MI",,med_sample_first_20,,,,0,,loan,,,,Progressive: Ranked One Of The Best Insurance Companies,Personal Loans For Good Credit From Marcus by Goldman Sachs® - Apply Today!,,b'',www.progressive.com/,,results," Rating: 9.3/10 - ?21,075 reviews",?Auto Loan Refinancing · ?Upstart Personal Loans · ?Student Loans · ?Business Loans,"www.parotidsurgerymd.com{""cl"":21,""clt"":""n"",""id"":""VoCos5jsD7BobM:"",""ml"":{""0"":{""bh"":160,""bw"":162}},""oh"":233,""ou"":""https://www.parotidsurgerymd.com/education/articles/salivary-gland-stones/img/salivary-gland-stones1-300x233.jpg"",""ow"":300,""pt"":""Salivary Gland Stones Surgery \u0026 Treatment Information | Dr. Larian"",""rh"":""parotidsurgerymd.com"",""rid"":""OVIXWowCtjAVOM"",""rmt"":0,""rt"":0,""ru"":""https://www.parotidsurgerymd.com/education/articles/salivary-gland-stones/"",""s"":"""",""st"":""Parotid Surgery Los Angeles"",""th"":160,""tu"":""https://encrypted-tbn0.gstatic.com/images?q\u003dtbn:ANd9GcR2Ggg7lQlzHRmtiU81gn3jHbtcHNUz8ILiEhdVdepZFoldgRLZFX0HKKhVKQ"",""tw"":206}A salivary gland stone -- also called salivary duct stone -- is a calcified structure that may form inside a salivary gland or duct. It can block the flow of saliva into the mouth. The majority of stones affect the submandibular glands located at the floor of the mouth.Nov 21, 2017Salivary Gland Stones: Symptoms, Causes, and Treatment - WebMDhttps://www.webmd.com/oral-health/.../salivary-gland-stones-symptoms-causes-treatmen...",,,,,,,,b'',,b''_nan
freq,,25659,25659,25659,,27,25659,665,665,665,,10434,,,,525,,1068,25659,,,116,106,1490,1490,189,,17390,96,80,40,,,,,,,,1490,,1490
mean,708.1026150668381,,,,1.0,,,,,,0.0,,4.373942866050898,45476.97271912389,0.3252601802680537,,17.499317978097352,,,0.0,12830.0,,,,,,4.815269496083245,,,,,1.0,1.0,1.0,1.0,1.0,708.1026150668381,18.35024747651896,,,
std,458.29758412031,,,,0.0,,,,,,0.0,,1.5173152682308593,9341.832360225135,0.15140182319510834,,4.830394655598156,,,0.0,7407.259614729323,,,,,,3.4075565944645727,,,,,0.0,0.0,0.0,0.0,0.0,458.29758412031,11.54198976380863,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,26677.0,0.10313447927200001,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,307.0,,,,1.0,,,,,,0.0,,3.0,38494.0,0.23154215814800003,,13.0,,,0.0,6415.5,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,307.0,8.0,,,
50%,648.0,,,,1.0,,,,,,0.0,,5.0,45374.0,0.29769083411200004,,17.0,,,0.0,12830.0,,,,,,4.0,,,,,1.0,1.0,1.0,1.0,1.0,648.0,17.0,,,
75%,1101.0,,,,1.0,,,,,,0.0,,6.0,52379.0,0.36141965166,,21.0,,,0.0,19244.5,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,1101.0,28.0,,,
max,1586.0,,,,1.0,,,,,,0.0,,6.0,65499.0,0.781870711448,,27.0,,,0.0,25659.0,,,,,,13.0,,,,,1.0,1.0,1.0,1.0,1.0,1586.0,40.0,,,
